[WARN ] 2015-07-13 15:19:36,345 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 15:19:49,812 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:19:49,924 [default task-8] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:19:50,018 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:19:50,021 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:19:50,037 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:19:50,297 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:20:12,365 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 15:20:12,366 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 15:20:12,367 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 15:20:20,207 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:20:20,209 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:20:20,218 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:20:20,484 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:20:31,089 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:20:31,133 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:20:31,805 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:20:31,814 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:22:08,975 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:22:08,978 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:55:07,089 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:55:07,093 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:55:07,109 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:55:07,461 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:57:12,086 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:57:12,088 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:57:12,116 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:57:12,121 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:59:17,857 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:59:17,863 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:59:17,902 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:59:17,909 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:59:21,439 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:59:21,443 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:59:21,472 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:59:21,474 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 16:05:20,435 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:05:20,435 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:05:20,437 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:05:24,608 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 16:05:24,611 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 16:05:24,666 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 16:05:24,669 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 16:06:07,207 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:06:07,207 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:06:07,209 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:06:52,756 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:06:52,757 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:06:52,762 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:06:53,006 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:06:58,589 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 16:06:58,592 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 16:06:58,623 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 16:06:58,626 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 16:08:21,234 [MSC service thread 1-6] Logback logging API implementation is configured.
[INFO ] 2015-07-13 16:08:24,003 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:08:24,019 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:08:24,046 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:08:47,479 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:08:47,491 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:08:47,493 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:08:55,483 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:08:55,601 [default task-10] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:08:55,673 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:08:55,675 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:08:55,686 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:08:56,001 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:09:49,833 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:09:49,833 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:09:49,834 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:10:02,863 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:10:02,866 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:10:02,872 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:10:03,197 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:12:24,814 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:12:24,815 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:12:24,820 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:12:25,228 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:12:26,851 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:12:26,851 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:12:26,852 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:12:33,039 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:12:33,040 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:12:33,046 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:12:33,358 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:12:47,904 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:12:47,905 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:12:47,906 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:12:50,628 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:12:50,630 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:12:50,634 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:12:51,065 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:14:38,019 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 16:14:38,019 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 16:14:38,020 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 16:14:41,841 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:14:41,842 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:14:41,848 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:14:42,128 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:14:44,325 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 16:14:44,326 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 16:14:44,330 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 16:14:44,537 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 16:14:53,624 [repositories/fiteagle] POST SPARQL update request to repository
[INFO ] 2015-07-13 16:14:55,955 [repositories/fiteagle] GET namespace list
